team,q1_wins,q1_losses,q1_games,q1_win_pct
Lamar,0,0,0,
Le Moyne,0,0,0,
Lehigh,0,1,1,0.0
Liberty,0,0,0,
Lindenwood,0,1,1,0.0
Lipscomb,0,1,1,0.0
Little Rock,0,0,0,
Long Beach State,0,1,1,0.0
Long Island University,0,1,1,0.0
Longwood,0,0,0,
Louisiana,0,0,0,
Louisiana State,0,6,6,0.0
Louisiana Tech,0,0,0,
Louisiana-Monroe,0,0,0,
Louisville,0,6,6,0.0
Loyola,0,0,0,
Loyola,0,0,0,
Loyola Marymount,0,1,1,0.0
Maine,0,0,0,
Manhattan,0,0,0,
Marist,0,0,0,
Marquette,1,2,3,0.333
Marshall,0,0,0,
Maryland,0,10,10,0.0
Maryland-Baltimore County,0,0,0,
Maryland-Eastern Shore,0,0,0,
Massachusetts,0,0,0,
Massachusetts-Lowell,0,0,0,
McNeese State,0,0,0,
Memphis,0,3,3,0.0
Mercer,0,1,1,0.0
Mercyhurst,0,0,0,
Merrimack,0,1,1,0.0
Miami,1,4,5,0.2
Miami,1,4,5,0.2
Michigan,7,1,8,0.875
Michigan State,5,4,9,0.556
Middle Tennessee,0,2,2,0.0
Milwaukee,0,1,1,0.0
Minnesota,2,4,6,0.333
Mississippi,0,5,5,0.0
Mississippi State,0,6,6,0.0
Mississippi Valley State,0,0,0,
Missouri,3,5,8,0.375
Missouri State,0,0,0,
Monmouth,0,0,0,
Montana,0,1,1,0.0
Montana State,0,0,0,
Morehead State,0,0,0,
Morgan State,0,0,0,
Mount St. Mary's,0,0,0,
Murray State,0,0,0,
Navy,0,1,1,0.0
North Carolina State,1,5,6,0.167
Nebraska,3,4,7,0.429
Nevada,0,0,0,
Nevada-Las Vegas,0,0,0,
New Hampshire,0,1,1,0.0
New Haven,0,2,2,0.0
New Mexico,0,0,0,
New Mexico State,0,0,0,
New Orleans,0,2,2,0.0
Niagara,0,1,1,0.0
Nicholls State,0,0,0,
NJIT,0,1,1,0.0
Norfolk State,0,1,1,0.0
North Alabama,0,0,0,
North Carolina,4,2,6,0.667
North Carolina A&T,0,0,0,
North Carolina Central,0,1,1,0.0
North Dakota,0,2,2,0.0
North Dakota State,0,0,0,
North Florida,0,3,3,0.0
North Texas,0,0,0,
Northeastern,0,0,0,
Northern Arizona,0,1,1,0.0
Northern Colorado,0,1,1,0.0
Northern Illinois,0,0,0,
Northern Iowa,0,0,0,
Northern Kentucky,0,1,1,0.0
Northwestern,0,7,7,0.0
Northwestern State,0,0,0,
Notre Dame,0,5,5,0.0
Oakland,0,4,4,0.0
Ohio,0,1,1,0.0
Ohio State,1,7,8,0.125
Oklahoma,1,4,5,0.2
Oklahoma State,1,6,7,0.143
Old Dominion,0,0,0,
Omaha,0,0,0,
Oral Roberts,0,0,0,
Oregon,0,6,6,0.0
Oregon State,0,1,1,0.0
Pacific,0,2,2,0.0
Penn State,0,6,6,0.0
Pennsylvania,0,0,0,
Pepperdine,0,2,2,0.0
Pittsburgh,0,4,4,0.0
Portland,1,1,2,0.5
Portland State,0,0,0,
Prairie View,0,0,0,
Presbyterian,0,0,0,
Princeton,0,1,1,0.0
Providence,0,3,3,0.0
Purdue,5,4,9,0.556
Purdue Fort Wayne,0,0,0,
Queens,0,1,1,0.0
Quinnipiac,0,0,0,
Radford,0,1,1,0.0
Rhode Island,0,0,0,
Rice,0,1,1,0.0
Richmond,0,0,0,
Rider,0,1,1,0.0
Robert Morris,0,0,0,
Rutgers,0,7,7,0.0
Sacramento State,0,0,0,
Sacred Heart,0,0,0,
Saint Francis,0,1,1,0.0
Saint Joseph's,0,0,0,
Saint Louis,0,0,0,
Saint Mary's,1,2,3,0.333
Saint Peter's,0,0,0,
Sam Houston,0,1,1,0.0
Samford,0,1,1,0.0
San Diego,0,1,1,0.0
San Diego State,0,2,2,0.0
San Francisco,0,2,2,0.0
San Jose State,0,0,0,
Santa Clara,0,2,2,0.0
Seattle,0,2,2,0.0
Seton Hall,0,2,2,0.0
Siena,0,0,0,
South Alabama,0,0,0,
South Carolina,0,5,5,0.0
South Carolina State,0,2,2,0.0
South Carolina Upstate,0,1,1,0.0
South Dakota,0,0,0,
South Dakota State,0,1,1,0.0
South Florida,0,1,1,0.0
Southeast Missouri State,0,0,0,
Southeastern Louisiana,0,0,0,
Southern,0,2,2,0.0
Southern California,0,5,5,0.0
Southern Illinois,0,0,0,
SIU Edwardsville,0,0,0,
Southern Indiana,0,0,0,
Southern Methodist,2,4,6,0.333
Southern Mississippi,0,0,0,
Southern Utah,0,1,1,0.0
St. Bonaventure,0,1,1,0.0
St. John's,1,3,4,0.25
St. Thomas,0,0,0,
Stanford,2,2,4,0.5
Stephen F. Austin,0,0,0,
Stetson,0,0,0,
Stonehill,0,1,1,0.0
Stony Brook,0,0,0,
Syracuse,1,6,7,0.143
Tarleton State,0,0,0,
Texas Christian,3,5,8,0.375
Temple,0,0,0,
Tennessee,4,6,10,0.4
Tennessee State,0,1,1,0.0
Tennessee Tech,0,0,0,
Tennessee-Martin,0,0,0,
Texas,2,5,7,0.286
Texas A&M,0,4,4,0.0
Texas A&M-Corpus Christi,0,1,1,0.0
Texas Southern,0,1,1,0.0
Texas State,0,0,0,
Texas Tech,5,6,11,0.455
Texas-Rio Grande Valley,0,0,0,
The Citadel,0,0,0,
Toledo,0,1,1,0.0
Towson,0,2,2,0.0
Troy,0,0,0,
Tulane,0,0,0,
Tulsa,0,0,0,
UAB,0,0,0,
UC Davis,0,0,0,
UC Irvine,0,0,0,
UC Riverside,0,1,1,0.0
UC San Diego,0,0,0,
UC Santa Barbara,0,0,0,
Central Florida,3,3,6,0.5
UCLA,3,5,8,0.375
UNC Asheville,0,0,0,
UNC Greensboro,0,0,0,
UNC Wilmington,0,0,0,
UT Arlington,0,0,0,
Utah,0,7,7,0.0
Utah State,0,0,0,
Utah Tech,0,1,1,0.0
Utah Valley,0,0,0,
UTEP,0,0,0,
UT San Antonio,0,1,1,0.0
Valparaiso,0,0,0,
Vanderbilt,3,3,6,0.5
Vermont,0,0,0,
Villanova,0,4,4,0.0
Virginia,1,2,3,0.333
Virginia Commonwealth,0,0,0,
VMI,0,0,0,
Virginia Tech,1,4,5,0.2
Wagner,0,0,0,
Wake Forest,0,7,7,0.0
Washington,0,5,5,0.0
Washington State,0,2,2,0.0
Weber State,0,0,0,
West Georgia,0,0,0,
West Virginia,2,4,6,0.333
Western Carolina,0,1,1,0.0
Western Illinois,0,0,0,
Western Kentucky,0,1,1,0.0
Western Michigan,0,0,0,
Wichita State,0,0,0,
William & Mary,0,0,0,
Winthrop,0,2,2,0.0
Wisconsin,5,3,8,0.625
Wofford,0,0,0,
Wright State,0,0,0,
Wyoming,0,1,1,0.0
Xavier,0,2,2,0.0
Yale,0,1,1,0.0
Youngstown State,0,0,0,
